cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook_1,「売ろう」そう決めたはずなのに。,2.9,,--:--,unconfirmed,売ろう、|そう決めたはずなのに。
2,hook_2,ケリーが、クローゼットにあり続けていませんか？,4.2,,--:--,unconfirmed,ケリーが、|そのままになっていませんか？
3,pain_1,まだ決めていないのに、連絡するのは気まずい。,4.0,,--:--,unconfirmed,まだ決めていないのに、|連絡していいのか。
4,pain_2,そのまま、後回しにしてしまう。,2.7,,--:--,unconfirmed,そのまま、後回しに。
5,shift,相場を確認することと、売ると決めることは、別のことです。,5.1,,--:--,unconfirmed,相場確認 ≠|売ると決めるこ
6,proof_1,このケリー、箱・保存袋・クロシェット・ストラップと揃っています。,5.8,,--:--,high,箱・保存袋・|クロシェット・ストラップ、|全て揃っています。
7,proof_2,金具に保護フィルムが残ったまま、丁寧に見ています。,4.5,,--:--,high,金具の保護フィルム|残ったまま。
8,benefit_bridge_1,この状態のケリーの相場感を、自分のペースで知ることができます。,5.6,,--:--,high,今の相場感を、|自分のペースで確認できます。
9,benefit_bridge_2,なぜその金額なのか、理由まで整理できます。,3.8,,--:--,unconfirmed,金額の理由まで、|分かります。
10,relief,売ると決めなくても、大丈夫です。,2.9,,--:--,unconfirmed,売ると決めなくても、|大丈夫です。
11,cta,写真3枚から、LINEで相場確認だけでもどうぞ。,4.4,,--:--,unconfirmed,写真3枚〜|LINEで相場確認だけでもどうぞ
