cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook_1,「売ろう」そう決めたはずなのに。,2.9,,--:--,unconfirmed,「売ろう」|そう決めたはずなのに。
2,hook_2,ピコタンが、まだそのままになっていませんか。,4.0,,--:--,unconfirmed,ピコタン、|まだそのまま|なっていませんか。
3,pain_1,売ると決めていないのに、連絡するのも気まずい。,4.2,,--:--,unconfirmed,売ると決めていないの|連絡するのも気まずい。
4,pain_2,そのまま、後回しにしてしまう。,2.7,,--:--,unconfirmed,そのまま、|後回しにしてしまう。
5,shift,相場を知ることと、売ると決めることは別のことです。,4.5,,--:--,unconfirmed,相場確認と、|売る決断は別のことです。
6,proof_1,映像のピコタンの状態を、一面ずつ見ています。,4.0,,--:--,high,本体の状態を、|一面ずつ確認。
7,proof_2,箱、保存袋、カデナと鍵も、ひとつずつ見ています。,4.4,,--:--,high,箱・保存袋・カデナ・鍵|ひとつずつ確認。
8,benefit_bridge_1,付属品が揃ったこの状態の相場感が分かります。,4.0,,--:--,high,付属品込み|相場感が分かります。
9,benefit_bridge_2,手元に置くか手放すかを、自分で決められます。,4.0,,--:--,unconfirmed,手元に置くか手放すか、|自分のペースで決められる。
10,relief,まだ決めていなくても、大丈夫です。,3.1,,--:--,unconfirmed,まだ決めていなくても、|大丈夫です。
11,cta,写真3枚から、LINEで相場確認だけでもどうぞ。,4.4,,--:--,unconfirmed,写真3枚から|LINE|相場確認だけでもどうぞ
