cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook_1,「売ろう」そう決めたはずなのに。,2.9,,--:--,unconfirmed,「売ろう」|そう決めたはずなのに。
2,hook_2,ピコタンが、まだそのままになっていませんか。,4.0,,--:--,unconfirmed,ピコタン、|まだそのまま？
3,pain_1,売ると決めてから、相談しようと思うと。,3.5,,--:--,unconfirmed,売ると決めてから|相談しようと思うと。
4,pain_2,そのまま、後回しになってしまう。,2.9,,--:--,unconfirmed,気づけば、|また後回しに。
5,shift,相場を確認することと、売ると決めることは、別のステップかもしれません。,6.4,,--:--,unconfirmed,相場確認と売る決断|別のステップ。
6,proof_1,映像のピコタンを、一面ずつ丁寧に見ています。,4.0,,--:--,high,ピコタンの状態|一面ずつ確認。
7,proof_2,箱、保存袋、カデナと鍵も揃っています。,3.5,,--:--,high,箱・保存袋・カデナ・鍵|すべて揃い。
8,benefit_bridge_1,この状態で、今の相場感が分かります。,3.3,,--:--,medium,この状態なら|相場感が見えてくる。
9,benefit_bridge_2,売るかどうかは、それを知ってから決められます。,4.2,,--:--,unconfirmed,売るかどうか|知ってから決めればいい。
10,relief,まだ売ると決めていなくても、大丈夫です。,3.6,,--:--,unconfirmed,まだ決めていなくて|大丈夫。
11,cta,写真3枚をLINEに送るだけでいいです。,3.6,,--:--,unconfirmed,写真3枚をLINE|相場確認だけでもOK
