cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook,ピコタン、本体はきれいなのに、,2.7,,--:--,medium,本体はきれいなのに——
2,hook,付属品が揃っているか自信がなくて、相談のタイミングを決めかねていませんか。,6.7,,--:--,unconfirmed,付属品が|揃っているか|自信がない
3,pain,箱はあるけど、ケアカードがどこにあるか分からない。,4.5,,--:--,unconfirmed,ケアカード、|どこだっけ…
4,pain,知識がないまま相談して、安く見られたら——そう思うと、なんとなく後回しになってしまう。,7.8,,--:--,unconfirmed,安く見られたら|と思うと|動けない
5,shift,でも、本体だけ見ているわけでもありません。,3.8,,--:--,medium,見ているのは|本体だけでは|ない
6,proof,映像では、ピコタンのボックスとダストバッグ、それぞれ丁寧に見ています。,6.4,,--:--,high,ボックス・ダストバッグ|ひとつずつ確認
7,proof,ロックとキー、革の質感、金具の光沢も、ひとつひとつ見ています。,5.6,,--:--,high,ロック・キー・革・金具|ひとつひとつ
8,benefit_bridge,何をどう見ているか分かると、手元のピコタンを自分のペースで整理できます。,6.5,,--:--,medium,見るポイントが分かると|自分で判断できる
9,relief,付属品が全部揃っていなくても、査定はできます。,4.2,,--:--,unconfirmed,付属品が|揃っていなくても|大丈夫
10,relief,まだ売ると決めていなくても、相場を確認するだけで大丈夫です。,5.5,,--:--,unconfirmed,まだ決めなくていい
11,cta,手元のピコタンの写真を3枚、LINEに送るだけで相場感を確認できます。,6.4,,--:--,unconfirmed,写真3枚→|LINEで相場確認
12,cta,売るかどうかは、それから自分で決めてもらえればと思います。,5.3,,--:--,unconfirmed,売るかどうかは|そのあとで
