cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook_1,「売ろう」そう決めたはずなのに。,2.9,,--:--,unconfirmed,売ろう、|決めたはずなのに。
2,hook_2,ピコタンが、まだそのままになっていませんか。,4.0,,--:--,unconfirmed,ピコタンがまだそのまま。
3,pain_1,売ると決めてから、連絡しようと思っていた。,3.8,,--:--,unconfirmed,売ると決めてから|連絡しようと思っていた。
4,pain_2,そのまま、また後回しになっている。,3.1,,--:--,unconfirmed,また、後回し|なっている。
5,shift,相場を確認することと、売ると決めることは、別のことです。,5.1,,--:--,unconfirmed,相場確認 ≠|売ると決めるこ
6,proof_1,本体も、ステッチも、内側も。傷ひとつ見当たりません。,4.7,,--:--,high,本体・ステッチ・内側|傷なし。
7,proof_2,箱、保存袋、カデナ、鍵も揃っています。,3.5,,--:--,high,箱・保存袋・カデナ・鍵|すべて確認。
8,benefit_bridge_1,この状態と付属品で、どう見られるかが分かります。,4.4,,--:--,medium,状態・付属品で|評価軸が見える。
9,benefit_bridge_2,売るかどうかを、自分のペースで決められます。,4.0,,--:--,unconfirmed,売るかどうか|自分のペースで。
10,relief,まだ決めていなくても、大丈夫です。,3.1,,--:--,unconfirmed,まだ決めていなくて|大丈夫。
11,cta,写真3枚から、LINEで相場確認だけでもどうぞ。,4.4,,--:--,unconfirmed,写真3枚〜|LINEで相場確認
