cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook,付属品も揃って、本体もきれい。,2.7,,--:--,high,付属品も揃って|本体もきれい。
2,hook,売ると決めてから、と思ったまま——そのままになっていませんか？,5.6,,--:--,unconfirmed,「売ると決めてから」|そのまま止まって|いませんか？
3,pain,知識もないのに相談するのは、気まずいかも。,3.8,,--:--,unconfirmed,知識もないのに|相談は気まずい…
4,pain,まだ迷っているのに、連絡するのは失礼かも。,3.8,,--:--,unconfirmed,まだ迷っているのに|連絡していいの？
5,shift,でも、売ると決めてから動くものとは限りません。,4.2,,--:--,unconfirmed,「売ると決めてから」|が前提とは|限らない。
6,shift,相場だけ知りたい、その段階から受け付けているお店もあります。,5.5,,--:--,medium,相場確認だけでも|受け付けている|お店があります。
7,proof,このピコタン、箱と保存袋、カデナに鍵、薄紙まで。,4.4,,--:--,high,箱・保存袋|カデナ・鍵・薄紙|すべて揃っています。
8,proof,革の質感は均一で、ステッチもきれいです。,3.6,,--:--,high,革の質感・ステッチ|状態も良好です。
9,proof,エルメスの査定では、付属品のひとつひとつを見ていきます。,5.1,,--:--,medium,付属品の|ひとつひとつが|査定で見られます。
10,benefit_bridge,付属品がこれだけ揃っていると、相場の数字が見えてきます。,5.1,,--:--,medium,付属品が揃うと|相場の数字が|手に入ります。
11,benefit_bridge,売るかどうかは、その数字を見てから決められます。,4.4,,--:--,unconfirmed,売るかどうかは|数字を見てから。
12,relief,査定に行かなくても、売ると決めていなくても、大丈夫です。,5.1,,--:--,unconfirmed,査定に行かなくても。|売ると決めて|いなくても。
13,relief,まず相場だけ知りたい、それだけで構いません。,4.0,,--:--,unconfirmed,「相場だけ知りたい」|それだけで大丈夫。
14,cta,LINEにバッグの写真を3枚。それだけで相場の確認ができます。,5.6,,--:--,unconfirmed,写真3枚をLINEで|相場確認できます。
15,cta,決断はその後、ご自身のペースで。,2.9,,--:--,unconfirmed,決断は|そのあと、自分のペースで。
