cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence
1,hook,箱もある、状態もいい。,2.0,,--:--,high
2,hook,でも、それだけで動いていいのか——迷っていませんか？,4.7,,--:--,unconfirmed
3,pain,知識がないまま行くのが、なんとなく気まずくて。,4.2,,--:--,unconfirmed
4,pain,そのまま、動けずにいませんか？,2.7,,--:--,unconfirmed
5,shift,でも、専門店では少し違う視点で見ています。,3.8,,--:--,medium
6,shift,本体だけではないんです。,2.2,,--:--,medium
7,proof,箱、保存袋。,1.1,,--:--,high
8,proof,ロック、鍵。ひとつずつ見ていきます。,3.3,,--:--,high
9,proof,革の質感や金具の光沢も、見ていきます。,3.5,,--:--,high
10,relief,まだ売ると決めなくても、大丈夫ですよ。,3.5,,--:--,unconfirmed
11,relief,査定は、売ると決める場所ではありません。,3.6,,--:--,unconfirmed
12,cta,相場感だけ知りたい方も、LINEからどうぞ。,4.0,,--:--,unconfirmed
13,cta,写真3枚から、確認できます。,2.5,,--:--,unconfirmed
