cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence,display_units
1,hook,「売ろう」そう決めたはずなのに。,2.9,,--:--,unconfirmed,売ろう、|そう決めたはずなのに。
2,hook,ピコタンが、まだ箱のままになっていませんか。,4.0,,--:--,unconfirmed,ピコタンがまだ箱のまま|止まっていませんか。
3,pain,まだ売ると決めていないのに、連絡していいのか。,4.2,,--:--,unconfirmed,まだ売る|決めていないの|連絡していいのか。
4,pain,そう思うと、動けなくて。,2.2,,--:--,unconfirmed,そう思うと、|動けない。
5,shift,でも、問い合わせることは、売ると決めることではないかもしれません。,6.0,,--:--,unconfirmed,問い合わせること＝|売ると決めるこ|ではない。
6,shift,相場を知るための入口として、使っていただけます。,4.4,,--:--,unconfirmed,相場を知る|入口として|使えます。
7,proof,ピコタンの状態、箱、保存袋。ひとつひとつ丁寧に見ています。,5.3,,--:--,high,状態・箱・保存袋、|ひとつひとつ|丁寧に確認。
8,proof,ロックと鍵が揃っているかどうかも、ここで見ていきます。,4.9,,--:--,high,ロックと鍵|揃っているかどうか|確認できます。
9,benefit_bridge,自分のピコタンの相場感が、分かります。,3.5,,--:--,unconfirmed,自分のピコタン|相場感が分かる。
10,benefit_bridge,売るかどうかは、それから自分のペースで決められます。,4.7,,--:--,unconfirmed,売るかどうか|自分のペース|決められます。
11,relief,売ると決めていなくても、大丈夫です。,3.3,,--:--,unconfirmed,売ると決めていなくて|大丈夫。
12,relief,相場を知るだけでも、それで十分です。,3.3,,--:--,unconfirmed,相場を知るだけで|それで十分。
13,cta,写真3枚、LINEに送るだけでいいです。,3.6,,--:--,unconfirmed,写真3枚|LINEに送るだけ。
14,cta,まず、相場だけ見てみませんか。,2.7,,--:--,unconfirmed,まず、相場だけ|見てみませんか。
